# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)	points_TOP_wire (No unit)
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.109226145	-0.018368566	0.0012250681	NaN	NaN	NaN	2.0253623e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.108559765	-0.018370552	0.001100611	NaN	NaN	NaN	2.1032609e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10793819	-0.018345423	0.0009818478	NaN	NaN	NaN	2.1811594e-07	1e-07	276
0	0	-0.2719719	0	-0.7071068	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10737996	-0.018304616	0.0008681613	NaN	NaN	NaN	2.259058e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10690129	-0.018258996	0.0007589349	NaN	NaN	NaN	2.3369566e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10651632	-0.018218813	0.00065354846	NaN	NaN	NaN	2.414855e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10623757	-0.01819372	0.0005513837	NaN	NaN	NaN	2.4927536e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.106076114	-0.018192833	0.0004518136	NaN	NaN	NaN	2.570652e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10604193	-0.018224811	0.00035420462	NaN	NaN	NaN	2.6485506e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.10614373	-0.018297955	0.00025791756	NaN	NaN	NaN	2.7264494e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10638962	-0.018420286	0.0001623021	NaN	NaN	NaN	2.804348e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.106786884	-0.018599704	6.6692264e-05	NaN	NaN	NaN	2.8822464e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.707107	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.10734215	-0.018844035	-2.9597928e-05	NaN	NaN	NaN	2.960145e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.10806127	-0.019161195	-0.0001272863	NaN	NaN	NaN	3.0380434e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.10894965	-0.019559253	-0.00022712095	NaN	NaN	NaN	3.115942e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.11001189	-0.02004657	-0.0003298858	NaN	NaN	NaN	3.1938407e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.11125175	-0.020631878	-0.00043641924	NaN	NaN	NaN	3.2717392e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.707107	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.11267196	-0.021324407	-0.000547611	NaN	NaN	NaN	3.3496377e-07	1e-07	276
0	0	-0.2719719	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.11427405	-0.022133961	-0.0006644131	NaN	NaN	NaN	3.4275362e-07	1e-07	276
