x,Bx_average
-5e-07,23.6411338344607
-4.98e-07,24.0376188904711
-4.96e-07,24.4433479772721
-4.94e-07,24.8585698177021
-4.92e-07,25.2835769790285
-4.9e-07,25.7186728831667
-4.88e-07,26.164133821799
-4.86e-07,26.6202966365427
-4.84e-07,27.0874577812241
-4.82e-07,27.5659637216489
-4.8e-07,28.0561739102975
-4.78e-07,28.5584179686603
-4.76e-07,29.0730868588485
-4.74e-07,29.6005573911594
-4.72e-07,30.1412176153987
-4.7e-07,30.695493467274
-4.68e-07,31.2638032060644
-4.66e-07,31.8465858326281
-4.64e-07,32.4442891016599
-4.62e-07,33.0574016096765
-4.6e-07,33.6864023489238
-4.58e-07,34.3317977322782
-4.56e-07,34.9941004206963
-4.54e-07,35.6738704907018
-4.52e-07,36.3716595728428
-4.5e-07,37.0880460015658
-4.48e-07,37.8236194306015
-4.46e-07,38.5790206578567
-4.44e-07,39.354879424561
-4.42e-07,40.1518593808932
-4.4e-07,40.9706324047499
-4.38e-07,41.8119288352373
-4.36e-07,42.6764681475849
-4.34e-07,43.5649900537217
-4.32e-07,44.4782968905237
-4.3e-07,45.4171781739805
-4.28e-07,46.3824578336867
-4.26e-07,47.3749718562693
-4.24e-07,48.3956219456408
-4.22e-07,49.44529067708
-4.2e-07,50.5249003517762
-4.18e-07,51.6353780325682
-4.16e-07,52.7777215067895
-4.14e-07,53.9529035889335
-4.12e-07,55.161930074071
-4.1e-07,56.4058091248246
-4.08e-07,57.6856169437038
-4.06e-07,59.0023889713831
-4.04e-07,60.3571902115853
-4.02e-07,61.7510688940233
-4e-07,63.1851348961859
-3.98e-07,64.6604352196671
-3.96e-07,66.1780222433848
-3.94e-07,67.7389085824132
-3.92e-07,69.344143250467
-3.9e-07,70.9946671825544
-3.88e-07,72.6913916236978
-3.86e-07,74.4351301347117
-3.84e-07,76.2266834254977
-3.82e-07,78.0666687313236
-3.8e-07,79.9555616244032
-3.78e-07,81.8937523768395
-3.76e-07,83.8813486543383
-3.74e-07,85.9182352066354
-3.72e-07,88.0039718461609
-3.7e-07,90.1378479721288
-3.68e-07,92.3186321379727
-3.66e-07,94.5446072723958
-3.64e-07,96.8133989644062
-3.62e-07,99.1219837688247
-3.6e-07,101.466344242322
-3.58e-07,103.841409391583
-3.56e-07,106.240771079811
-3.54e-07,108.656544095695
-3.52e-07,111.078828501413
-3.5e-07,113.495443449079
-3.48e-07,115.891357056472
-3.46e-07,118.248225279316
-3.44e-07,120.543466877388
-3.42e-07,122.749548956567
-3.4e-07,124.832999001598
-3.38e-07,126.753522718117
-3.36e-07,128.463008120949
-3.34e-07,129.905319244848
-3.32e-07,131.017058108922
-3.3e-07,131.730561226867
-3.28e-07,131.97995983692
-3.26e-07,131.710977693319
-3.24e-07,130.892215403582
-3.22e-07,129.523217827531
-3.2e-07,127.634461309512
-3.18e-07,125.279351311158
-3.16e-07,122.522754471109
-3.14e-07,119.431474133121
-3.12e-07,116.067969954532
-3.1e-07,112.487498775311
-3.08e-07,108.737099926511
-3.06e-07,104.856229434764
-3.04e-07,100.877381973167
-3.02e-07,96.8271799501872
-3e-07,92.7270808720827
-2.98e-07,88.5945651346663
-2.96e-07,84.4436317381787
-2.94e-07,80.2855068770962
-2.92e-07,76.1289085714
-2.9e-07,71.980807398621
-2.88e-07,67.8465159269207
-2.86e-07,63.730086357316
-2.84e-07,59.634293306073
-2.82e-07,55.5611680837856
-2.8e-07,51.5119203660961
-2.78e-07,47.4871718775687
-2.76e-07,43.4868366337432
-2.74e-07,39.5105511123733
-2.72e-07,35.5575108126015
-2.7e-07,31.6266535656402
-2.68e-07,27.7164810474488
-2.66e-07,23.8254372543071
-2.64e-07,19.9517274853795
-2.62e-07,16.0934573669737
-2.6e-07,12.2484383907493
-2.58e-07,8.41454761945344
-2.56e-07,4.58952106141724
-2.54e-07,0.771035155459974
-2.52e-07,-3.04322843743185
-2.5e-07,-6.85577788057701
-2.48e-07,-10.6689727754683
-2.46e-07,-14.485231352793
-2.44e-07,-18.3068990560134
-2.42e-07,-22.1364565707759
-2.4e-07,-25.9761766572304
-2.38e-07,-29.8282665621005
-2.36e-07,-33.6950179827288
-2.34e-07,-37.5784568534543
-2.32e-07,-41.4805364836118
-2.3e-07,-45.403001239048
-2.28e-07,-49.3475763026167
-2.26e-07,-53.3155952075615
-2.24e-07,-57.3081833894054
-2.22e-07,-61.3260904615215
-2.2e-07,-65.3698590090235
-2.18e-07,-69.439409611318
-2.16e-07,-73.5341823708974
-2.14e-07,-77.652917567124
-2.12e-07,-81.7937652488888
-2.1e-07,-85.9537830972533
-2.08e-07,-90.1289872315459
-2.06e-07,-94.3140116824299
-2.04e-07,-98.5020748307224
-2.02e-07,-102.684290434469
-2e-07,-106.849499583353
-1.98e-07,-110.983657605135
-1.96e-07,-115.06946810349
-1.94e-07,-119.085310634964
-1.92e-07,-123.004630800209
-1.9e-07,-126.794897823778
-1.88e-07,-130.416824959469
-1.86e-07,-133.823229166538
-1.84e-07,-136.958918140478
-1.82e-07,-139.76141174737
-1.8e-07,-142.164030844087
-1.78e-07,-144.10181434741
-1.76e-07,-145.521411030635
-1.74e-07,-146.392350816868
-1.72e-07,-146.715132311721
-1.7e-07,-146.52114907373
-1.68e-07,-145.864702139448
-1.66e-07,-144.811680150714
-1.64e-07,-143.429768123311
-1.62e-07,-141.782382300136
-1.6e-07,-139.925681781619
-1.58e-07,-137.907801590322
-1.56e-07,-135.76904994779
-1.54e-07,-133.542933725652
-1.52e-07,-131.257037313546
-1.5e-07,-128.933868712696
